Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1043,1001,1110,1094
1,1042,1001,1110,1094
2,1043,1001,1109,1094
3,1042,1001,1109,1094
4,1042,1002,1109,1094
5,1043,1001,1109,1094
6,1042,1001,1109,1094
7,1041,1001,1109,1094
8,1041,1001,1109,1094
9,1042,1001,1109,1094
10,1041,1002,1109,1094
11,1041,1002,1109,1094
12,1041,1002,1109,1094
13,1041,1001,1109,1094
14,1040,1002,1109,1094
15,1040,1001,1109,1094
16,1040,1001,1109,1094
17,1040,1002,1109,1094
18,1040,1001,1109,1094
19,1040,1001,1109,1094
20,1040,1001,1109,1094
21,1039,1001,1109,1094
22,1040,1002,1109,1094
23,1039,1001,1109,1094
24,1039,1002,1109,1094
25,1039,1002,1109,1094
26,1039,1002,1108,1094
27,1039,1001,1109,1094
28,1039,1002,1108,1094
29,1039,1002,1108,1094
30,1039,1001,1108,1094
31,1038,1002,1108,1094
32,1039,1001,1108,1094
33,1039,1001,1108,1094
34,1038,1001,1108,1094
35,1038,1001,1108,1094
36,1038,1001,1108,1094
37,1038,1000,1108,1094
38,1038,1002,1108,1094
39,1038,1001,1108,1094
40,1038,1001,1108,1094
41,1038,1002,1108,1094
42,1038,1001,1108,1094
43,1037,1001,1108,1094
44,1038,1001,1108,1094
45,1037,1001,1108,1093
46,1037,1002,1108,1093
47,1037,1000,1108,1093
48,1037,1000,1108,1093
49,1037,1000,1108,1094
50,1037,999,1108,1093
51,1037,997,1108,1094
52,1037,997,1108,1094
53,1037,997,1108,1094
54,1037,997,1108,1093
55,1037,997,1108,1093
56,1036,997,1108,1094
57,1036,998,1108,1094
58,1036,997,1108,1094
59,1036,997,1107,1094
60,1035,997,1108,1093
61,1035,998,1108,1093
62,1035,997,1108,1094
63,1035,998,1107,1094
64,1034,998,1107,1094
65,1035,998,1107,1093
66,1035,998,1108,1094
67,1035,998,1107,1093
68,1035,999,1107,1094
69,1034,999,1107,1093
70,1034,999,1107,1094
71,1034,998,1107,1093
72,1034,999,1108,1093
73,1034,999,1107,1094
74,1033,999,1107,1093
75,1033,998,1107,1093
76,1033,999,1107,1094
77,1033,999,1107,1093
78,1034,999,1107,1094
79,1033,999,1107,1093
80,1033,999,1107,1093
81,1033,1000,1107,1093
82,1033,999,1107,1094
83,1033,1000,1107,1094
84,1032,1000,1108,1093
85,1032,999,1109,1093
86,1032,999,1108,1094
87,1032,999,1108,1094
88,1031,999,1109,1094
89,1031,999,1109,1093
90,1031,998,1108,1093
91,1032,998,1108,1093
92,1032,998,1108,1093
93,1031,998,1108,1094
94,1032,998,1108,1093
95,1031,997,1108,1093
96,1031,997,1108,1093
97,1031,998,1108,1093
98,1031,997,1108,1093
99,1031,997,1108,1093
100,1031,996,1108,1093
101,1031,996,1108,1094
102,1031,996,1112,1098
103,1030,996,1122,1116
104,1030,996,1131,1130
105,1030,995,1133,1131
106,1114,996,1130,1129
107,1106,1066,1129,1128
108,1117,1095,1128,1128
109,1113,1103,1127,1127
110,1115,1104,1127,1128
111,1115,1104,1127,1126
112,1115,1105,1126,1125
113,1115,1107,1126,1125
114,1116,1106,1127,1125
115,1115,1105,1127,1125
116,1115,1105,1128,1131
117,1115,1106,1140,1141
118,1116,1106,1166,1158
119,1116,1107,1176,1160
120,1237,1142,1186,1170
121,1315,1182,1189,1170
122,1376,1213,1190,1170
123,1365,1269,1191,1172
124,1377,1290,1192,1172
125,1377,1290,1195,1173
126,1391,1301,1195,1174
127,1405,1305,1196,1175
128,1420,1309,1196,1175
129,1429,1315,1196,1176
130,1427,1319,1196,1177
131,1429,1322,1196,1177
132,1430,1327,1196,1177
133,1431,1331,1197,1177
134,1432,1334,1197,1177
135,1433,1333,1197,1178
136,1434,1334,1197,1178
137,1436,1335,1197,1178
138,1437,1335,1197,1178
139,1437,1337,1197,1178
140,1437,1338,1197,1178
141,1438,1338,1197,1177
142,1437,1339,1197,1177
143,1437,1339,1197,1176
144,1437,1338,1195,1176
145,1437,1337,1190,1176
146,1435,1337,1184,1173
147,1432,1336,1179,1171
148,1427,1335,1173,1169
149,1423,1334,1168,1166
150,1423,1332,1164,1163
151,1417,1331,1160,1161
152,1406,1330,1155,1157
153,1344,1329,1151,1154
154,1339,1328,1147,1151
155,1335,1326,1141,1145
156,1172,1325,1135,1140
157,1255,1271,1130,1140
158,1227,1177,1124,1132
159,1209,1222,1121,1120
160,1193,1177,1118,1113
161,1141,1108,1116,1107
162,1140,1120,1115,1104
163,1138,1114,1115,1102
164,1117,1073,1113,1101
165,1117,1065,1112,1099
166,1116,1059,1112,1098
167,1108,1047,1111,1098
168,1100,1025,1111,1097
169,1096,1025,1111,1098
170,1091,1035,1110,1097
171,1089,1025,1110,1096
172,1085,1025,1110,1096
173,1082,1025,1110,1096
174,1080,1025,1109,1096
175,1080,1026,1109,1096
176,1078,1020,1109,1096
177,1077,1018,1108,1096
178,1075,1017,1109,1095
179,1075,1017,1109,1095
180,1073,1016,1110,1095
181,1072,1007,1110,1095
182,1071,1005,1112,1098
183,1071,1006,1116,1098
184,1069,1007,1118,1101
185,1069,1007,1122,1107
186,1068,1007,1127,1112
187,1068,1007,1130,1115
188,1067,1008,1130,1117
189,1079,1008,1135,1119
190,1129,1008,1142,1119
191,1119,1051,1151,1115
192,1127,1056,1169,1110
193,1165,1056,1175,1109
194,1229,1053,1159,1109
195,1311,1053,1139,1109
196,1302,1052,1134,1109
197,1081,1052,1131,1109
198,1190,1051,1129,1109
199,1194,1050,1126,1108
200,1194,1051,1125,1109
201,1194,1050,1125,1109
202,1188,1051,1125,1108
203,1152,1050,1125,1108
204,1155,1050,1125,1109
205,1154,1050,1125,1108
206,1152,1050,1125,1108
207,1150,1049,1124,1109
208,1148,1049,1124,1109
209,1146,1049,1125,1108
210,1145,1049,1124,1108
211,1143,1049,1124,1108
212,1141,1049,1124,1108
213,1139,1048,1124,1108
214,1138,1048,1124,1108
215,1136,1048,1124,1108
216,1134,1048,1124,1108
217,1132,1047,1123,1108
218,1131,1047,1123,1108
219,1129,1048,1123,1108
220,1128,1048,1123,1108
221,1126,1048,1123,1108
222,1125,1048,1124,1107
223,1124,1047,1123,1107
224,1123,1047,1122,1107
225,1123,1047,1120,1105
226,1121,1047,1116,1103
227,1119,1047,1117,1103
228,1118,1047,1115,1102
229,1117,1047,1111,1100
230,1115,1046,1112,1097
231,1113,1046,1110,1095
232,1112,1046,1109,1094
233,1111,1046,1109,1094
234,1103,1016,1108,1094
235,1090,1021,1108,1093
236,1088,1013,1108,1093
237,1083,1010,1108,1093
