Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1006,1007,1100,1093
1,1006,1006,1099,1093
2,1006,1006,1099,1093
3,1006,1006,1099,1093
4,1006,1006,1099,1093
5,1005,1006,1099,1093
6,1006,1007,1099,1092
7,1006,1007,1099,1093
8,1006,1006,1099,1093
9,1006,1006,1099,1092
10,1006,1006,1099,1092
11,1006,1007,1099,1092
12,1006,1007,1099,1093
13,1005,1007,1099,1092
14,1005,1007,1099,1093
15,1006,1006,1099,1093
16,1006,1006,1099,1093
17,1006,1006,1099,1092
18,1006,1006,1099,1092
19,1006,1007,1099,1092
20,1005,1007,1099,1092
21,1006,1006,1099,1093
22,1006,1006,1099,1092
23,1006,1007,1099,1092
24,1005,1006,1099,1092
25,1006,1006,1099,1092
26,1006,1007,1099,1092
27,1006,1007,1099,1092
28,1006,1006,1099,1092
29,1006,1006,1099,1092
30,1006,1007,1099,1092
31,1006,1006,1099,1092
32,1006,1006,1099,1092
33,1006,1007,1099,1092
34,1006,1006,1100,1092
35,1005,1007,1101,1092
36,1006,1006,1101,1092
37,1006,1006,1100,1092
38,1006,1006,1102,1092
39,1006,1007,1099,1092
40,1006,1006,1099,1092
41,1006,1006,1098,1092
42,1006,1006,1098,1092
43,1006,1006,1099,1092
44,1006,1007,1098,1092
45,1006,1006,1098,1092
46,1006,1007,1099,1092
47,1006,1006,1100,1092
48,1006,1006,1099,1092
49,1006,1006,1099,1092
50,1006,1006,1099,1092
51,1006,1006,1099,1092
52,1006,1006,1098,1093
53,1005,1006,1098,1092
54,1006,1006,1098,1092
55,1006,1006,1098,1092
56,1006,1007,1098,1092
57,1005,1007,1099,1093
58,1006,1006,1098,1092
59,1006,1006,1098,1092
60,1005,1006,1098,1092
61,1005,1006,1098,1092
62,1006,1007,1098,1092
63,1006,1007,1098,1092
64,1006,1007,1098,1092
65,1006,1006,1098,1092
66,1006,1006,1098,1092
67,1006,1006,1098,1093
68,1006,1007,1098,1093
