Dataset,RMSE,MAE,R2
Train,28.943631183759585,22.360091205483734,0.7178371333935166
Validation,39.59688910222004,31.560818230124077,0.5015569596435158
Test,38.03471947526682,30.418035115559903,0.4107206947149609
