Dataset,RMSE,MAE,R2
Train,27.42810456220401,21.61654715016402,0.710910902504003
Validation,44.35541693935655,35.982230529785156,0.2152144638451412
Test,50.25630104161775,42.19793630499589,-0.03588177048960506
