Dataset,RMSE,MAE,R2
Train,10.120394090406926,7.830184712581506,0.9638286901984707
Validation,16.532424996689514,12.010057159423827,0.911844510667742
Test,20.20602902412641,13.312944489485067,0.8517545616485211
