Dataset,RMSE,MAE,R2
Train,4.229019112782535,3.0995519391741135,0.993299693393073
Validation,20.373309356986407,16.16795390624999,0.8388796916364967
Test,22.049497248472306,17.650243997012865,0.8074560121274192
