Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1005,1006,1099,1094
1,1005,1007,1099,1095
2,1006,1007,1098,1094
3,1006,1007,1099,1095
4,1005,1007,1099,1094
5,1006,1007,1098,1094
6,1005,1007,1098,1094
7,1006,1007,1098,1094
8,1006,1007,1098,1094
9,1006,1007,1098,1094
10,1005,1006,1098,1094
11,1005,1006,1098,1094
12,1005,1007,1098,1094
13,1005,1007,1098,1094
14,1006,1006,1098,1094
15,1006,1006,1098,1094
16,1006,1007,1098,1094
17,1005,1007,1098,1094
18,1005,1007,1098,1094
19,1005,1007,1098,1094
20,1005,1006,1098,1094
21,1005,1006,1098,1094
22,1006,1006,1098,1094
23,1005,1007,1098,1094
24,1006,1006,1098,1094
25,1005,1006,1098,1094
26,1006,1007,1098,1094
27,1005,1007,1098,1094
28,1005,1007,1098,1094
29,1006,1006,1098,1094
30,1005,1007,1097,1093
31,1005,1007,1097,1094
32,1005,1006,1097,1094
33,1006,1006,1097,1094
34,1005,1007,1097,1094
35,1006,1007,1097,1094
36,1006,1007,1097,1094
37,1006,1006,1097,1093
38,1005,1006,1097,1093
39,1006,1007,1097,1093
40,1006,1006,1097,1094
41,1005,1007,1097,1094
42,1006,1006,1097,1093
43,1005,1007,1097,1094
44,1006,1007,1097,1094
45,1005,1007,1097,1093
46,1006,1007,1097,1093
47,1006,1006,1097,1093
48,1005,1006,1097,1094
49,1005,1006,1097,1094
50,1005,1006,1097,1094
51,1006,1006,1097,1093
52,1005,1006,1097,1093
53,1006,1007,1097,1093
54,1006,1007,1097,1093
55,1006,1006,1097,1093
56,1006,1006,1097,1093
57,1005,1006,1097,1093
58,1006,1006,1097,1093
59,1005,1007,1097,1093
60,1006,1006,1097,1093
61,1006,1006,1097,1094
62,1005,1007,1097,1093
63,1006,1006,1097,1093
64,1005,1007,1097,1093
65,1005,1006,1097,1094
66,1005,1007,1097,1093
67,1006,1006,1097,1093
68,1006,1006,1097,1093
69,1005,1007,1097,1094
70,1005,1007,1097,1093
71,1005,1006,1097,1093
72,1004,1007,1097,1093
73,1005,1007,1097,1093
74,1005,1006,1097,1093
75,1006,1006,1097,1093
76,1005,1007,1097,1093
77,1005,1007,1097,1093
78,1006,1007,1096,1093
79,1006,1006,1097,1093
80,1006,1007,1096,1093
81,1005,1007,1097,1093
82,1005,1006,1096,1093
83,1006,1006,1097,1093
84,1005,1007,1097,1093
85,1005,1007,1096,1093
86,1005,1007,1096,1093
87,1005,1006,1096,1093
88,1006,1007,1097,1093
89,1006,1006,1096,1093
90,1005,1007,1096,1093
91,1005,1007,1096,1093
92,1005,1006,1096,1093
93,1005,1007,1096,1093
94,1005,1007,1096,1093
95,1006,1007,1096,1093
96,1006,1007,1096,1093
97,1005,1007,1096,1093
98,1006,1007,1096,1093
99,1006,1007,1096,1093
100,1006,1006,1096,1093
101,1006,1007,1096,1093
102,1006,1007,1096,1093
103,1006,1007,1096,1093
104,1006,1007,1096,1093
105,1005,1007,1096,1093
106,1005,1006,1096,1093
107,1006,1006,1096,1093
108,1006,1006,1096,1093
109,1006,1006,1096,1093
110,1006,1006,1096,1093
111,1005,1006,1096,1093
112,1006,1006,1096,1093
113,1005,1006,1096,1093
114,1005,1007,1096,1093
115,1005,1006,1096,1093
116,1005,1006,1096,1093
117,1005,1006,1096,1093
118,1005,1006,1096,1093
119,1006,1006,1096,1093
120,1005,1006,1096,1093
121,1006,1007,1096,1093
122,1005,1006,1096,1093
123,1006,1007,1096,1093
124,1006,1007,1096,1093
125,1005,1007,1096,1093
126,1005,1006,1096,1093
127,1005,1006,1095,1093
128,1006,1006,1096,1093
129,1006,1006,1096,1093
130,1006,1006,1096,1093
131,1005,1006,1096,1093
132,1005,1006,1095,1093
133,1005,1006,1095,1093
134,1006,1006,1095,1093
135,1005,1007,1096,1093
136,1006,1006,1095,1093
137,1006,1006,1095,1093
138,1005,1006,1096,1093
139,1006,1007,1095,1093
140,1006,1007,1095,1093
141,1006,1007,1095,1093
142,1005,1007,1096,1093
143,1006,1007,1096,1093
144,1006,1007,1096,1093
145,1006,1007,1095,1093
146,1006,1007,1096,1093
147,1006,1006,1095,1093
148,1005,1007,1096,1093
149,1006,1007,1095,1092
150,1006,1007,1096,1093
151,1005,1007,1096,1093
152,1006,1007,1095,1093
153,1005,1006,1096,1093
154,1006,1007,1095,1093
155,1006,1007,1096,1093
156,1006,1006,1095,1093
157,1006,1006,1095,1093
158,1006,1006,1096,1093
159,1006,1007,1095,1093
160,1006,1007,1095,1093
161,1006,1006,1095,1093
162,1005,1007,1095,1093
163,1006,1006,1095,1093
164,1005,1006,1095,1093
165,1006,1006,1095,1093
166,1006,1007,1095,1093
167,1005,1006,1095,1093
168,1005,1007,1095,1093
169,1005,1006,1095,1093
170,1006,1006,1095,1093
171,1006,1007,1095,1093
172,1005,1007,1095,1093
173,1006,1007,1095,1093
174,1006,1006,1095,1093
175,1006,1007,1095,1093
176,1005,1006,1095,1093
177,1006,1006,1095,1093
178,1006,1007,1095,1093
179,1006,1006,1095,1093
180,1006,1006,1095,1093
181,1006,1007,1095,1093
182,1005,1007,1095,1093
183,1006,1007,1095,1093
184,1005,1007,1095,1093
185,1006,1007,1095,1093
186,1006,1007,1095,1093
187,1006,1007,1095,1093
188,1005,1007,1095,1093
189,1005,1006,1095,1093
190,1006,1006,1095,1093
191,1005,1006,1095,1093
192,1005,1007,1095,1093
193,1006,1007,1095,1093
194,1006,1007,1095,1093
195,1006,1006,1095,1093
196,1006,1007,1095,1093
197,1006,1007,1095,1093
198,1005,1007,1095,1093
199,1006,1007,1095,1093
200,1005,1006,1095,1093
201,1006,1006,1095,1093
202,1005,1006,1095,1093
203,1006,1006,1095,1093
204,1006,1007,1095,1093
205,1005,1006,1096,1093
206,1005,1006,1095,1093
207,1005,1006,1095,1093
208,1005,1007,1095,1093
209,1005,1006,1095,1093
210,1005,1006,1095,1093
211,1006,1007,1095,1093
212,1005,1007,1095,1093
213,1005,1007,1095,1093
214,1005,1006,1095,1093
215,1006,1007,1095,1093
216,1005,1006,1095,1092
217,1006,1007,1095,1093
218,1005,1007,1095,1093
219,1005,1006,1095,1093
220,1005,1007,1095,1093
221,1006,1006,1095,1092
222,1005,1007,1095,1093
223,1006,1007,1095,1093
224,1005,1006,1095,1093
225,1006,1006,1095,1093
226,1005,1007,1095,1092
227,1006,1007,1095,1093
228,1006,1007,1095,1092
229,1005,1006,1095,1093
230,1006,1006,1095,1093
231,1006,1006,1095,1093
232,1006,1007,1095,1092
233,1005,1007,1095,1093
234,1006,1007,1095,1093
235,1005,1006,1095,1092
236,1006,1007,1095,1093
237,1005,1007,1095,1093
238,1006,1007,1095,1093
239,1005,1007,1095,1093
240,1006,1007,1095,1093
241,1006,1006,1095,1093
242,1006,1007,1095,1093
243,1005,1006,1095,1093
244,1006,1006,1095,1093
245,1005,1006,1095,1093
246,1006,1007,1095,1093
247,1006,1007,1095,1093
248,1006,1007,1095,1092
249,1006,1007,1095,1093
250,1006,1006,1095,1093
251,1006,1007,1095,1093
252,1005,1006,1095,1093
253,1006,1006,1095,1093
254,1005,1007,1095,1093
255,1005,1007,1095,1093
256,1005,1006,1095,1093
257,1006,1007,1095,1093
258,1005,1007,1095,1092
259,1006,1007,1095,1092
260,1006,1007,1095,1093
261,1006,1007,1095,1093
262,1005,1006,1095,1093
263,1005,1006,1095,1093
264,1005,1007,1095,1092
265,1006,1007,1095,1093
266,1006,1007,1095,1092
267,1006,1006,1095,1093
268,1006,1006,1095,1093
269,1006,1007,1095,1092
270,1006,1006,1095,1093
