epoch,train_loss,val_loss
1,1.0060798143877567,0.885461719290724
2,0.9934924201479236,0.8622105295218311
3,0.926185681403262,0.6732407218044244
4,0.8071327828666539,0.6761089227731946
5,0.7966517603513107,0.6172678676045057
6,0.7841762159634562,0.6450762433334462
7,0.7762216960342185,0.6132421725004622
8,0.7657122053567645,0.5997732490011789
9,0.7702640381831567,0.6205128318476445
10,0.7993038344441108,0.6244095911100073
11,0.771946785519424,0.6142830324983134
12,0.775797143144515,0.5915966158353009
13,0.772465710501069,0.5981198537696912
14,0.7757034278610377,0.6137282263885424
15,0.8199614457135062,0.6080198302431014
16,0.8579629772496455,0.6991114980966142
17,0.8196601268735905,0.6693561221789388
18,0.7852676418221113,0.6318338157482517
19,0.7769731427859334,0.5966448572654168
20,0.7709424258435814,0.6094387300963541
21,0.7741472984401925,0.6199622877593179
22,0.7736421878476745,0.6141274753704812
23,0.7613637160907671,0.6155726631868232
24,0.7738685254911775,0.612991452217102
25,0.7622336609270967,0.6105416174073821
26,0.7628410875218586,0.6074594198500068
27,0.7618786038704288,0.6160895367270535
28,0.7837001663967244,0.6260343685890865
29,0.7644442183878816,0.6173449355421714
30,0.7747853470658793,0.6259628305736097
31,0.7789380567745098,0.6198970773845043
32,0.764554716719007,0.6070976167627908
33,0.7472540452642348,0.6040550235984394
34,0.7482198196128734,0.6018892231496792
35,0.7541803821776677,0.6055553263252221
36,0.7485867313389639,0.6104738978506292
37,0.7675584545991954,0.6156006180545659
38,0.7470358274515393,0.6108094893612908
39,0.7400377106319354,0.6084360364571358
40,0.7490464038061864,0.5978077181334635
41,0.7565174444207867,0.6028886584980974
42,0.7528637954332296,0.6213294473087904
43,0.7669746401240525,0.6115086909058025
44,0.7591633272981181,0.6047836284614304
45,0.75798066032743,0.605675251738539
46,0.7655204453514618,0.6121695770800692
47,0.7640722758561662,0.6059092210913167
48,0.7488078260884702,0.6077386007725614
49,0.7496534360265269,0.6122222291034403
50,0.8531143480134242,0.6034418008859875
51,0.7755183777184163,0.634310682421749
52,0.7634102218938106,0.6125839401796026
53,0.7541752017817451,0.6091337325503525
54,0.7478999397129689,0.6039171259380082
55,0.7823332001283331,0.667472829517809
56,0.7761263180415607,0.6095974474277311
57,0.7630085294107789,0.6127792249605494
58,0.7618763519143595,0.620674999882874
59,0.7709659511603199,0.5974929694411824
60,0.7598487578549431,0.6040297552798558
61,0.7465193384480708,0.5937169819202238
62,0.751326476196641,0.6095883582980888
63,0.7593709962460601,0.5946804175099123
64,0.8240028787585139,0.7708559429761276
65,0.9192398665020767,0.7594071001682466
66,0.8844046442254075,0.7208365728554217
67,0.8507378081094872,0.6752642207932704
68,0.8347563248814889,0.6513651962419158
69,0.8104373942879797,0.6307482621044789
70,0.8142390161463358,0.6748825716740877
71,0.8136740749322094,0.6502539362143545
72,0.7959314622346637,0.6288849309231471
73,0.7820255440994374,0.6073012945142765
74,0.7846683706473379,0.6198302003943804
75,0.7807644064565307,0.6151610960080786
76,0.7701105753194939,0.6001250633915651
77,0.7662659981875743,0.6163487616673257
78,0.7303996575110167,0.5775474136315503
79,0.7046750167619835,0.5995157285801416
80,0.6828431203527358,0.5991702597696804
81,0.6765721420061241,0.569446073284427
82,0.6790108902072444,0.5697548175321042
83,0.6710827679020687,0.5716934319838737
84,0.7027489694866161,0.9094039161228439
85,0.8222220780201328,0.615239296723338
86,0.758057747217058,0.6148600775061301
87,0.7550871774409581,0.6229282629142687
88,0.7744131075236403,0.6102687829327815
89,0.7654846834326253,0.5940295405758237
90,0.7500290312234638,0.606686307388602
91,0.7557216133307485,0.5750068171510418
92,0.7417180941810886,0.6017940082017658
93,0.7113786869257399,0.5650115374801228
94,0.7201549824580405,0.6494297457551493
95,0.8039549276666734,0.6005397242249795
96,0.7684331342433263,0.5882926545675519
97,0.7752016539712554,0.6148719359370112
98,0.7734873705697292,0.650777636222469
99,0.7574462514479183,0.6432112322270291
100,0.7672263305742764,0.6283758080121383
