Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1007,1018,1094,1097
1,1007,1018,1094,1097
2,1006,1017,1094,1097
3,1003,1017,1093,1097
4,1002,1016,1094,1097
5,1001,1017,1094,1097
6,999,1016,1094,1096
7,998,1016,1093,1097
8,998,1015,1094,1097
9,998,1009,1094,1096
10,997,1010,1093,1096
11,997,1010,1093,1096
12,997,1010,1093,1096
13,997,1011,1093,1096
14,996,1011,1093,1096
15,996,1011,1093,1096
16,995,1011,1093,1096
17,995,1011,1093,1096
18,995,1012,1093,1096
19,994,1012,1093,1096
20,995,1012,1093,1096
21,995,1012,1093,1096
22,995,1012,1093,1096
23,995,1012,1092,1096
24,995,1012,1093,1096
25,995,1012,1092,1096
26,994,1012,1093,1096
27,992,1013,1092,1096
28,993,1013,1092,1096
29,993,1013,1092,1096
30,992,1013,1092,1096
31,992,1013,1092,1096
32,992,1013,1092,1096
33,991,1013,1092,1096
34,991,1013,1092,1096
35,990,1013,1092,1096
36,990,1013,1092,1096
37,990,1013,1092,1096
38,990,1013,1092,1096
39,991,1012,1092,1096
40,990,1013,1092,1096
41,990,1014,1092,1096
42,990,1014,1092,1096
43,990,1013,1092,1096
44,990,1014,1092,1096
45,990,1014,1092,1096
46,990,1012,1092,1096
47,990,1012,1091,1096
48,990,1012,1091,1096
49,990,1011,1092,1096
50,989,1011,1091,1096
51,988,1011,1092,1096
52,988,1011,1091,1096
53,987,1010,1091,1096
54,987,1010,1091,1096
55,987,1010,1091,1096
56,987,1010,1091,1096
57,988,1010,1091,1096
58,986,1010,1091,1096
59,986,1010,1091,1096
60,987,1010,1091,1096
61,986,1010,1091,1096
62,986,1011,1091,1096
63,986,1011,1091,1096
64,986,1010,1091,1096
65,986,1011,1091,1096
66,985,1011,1091,1096
67,985,1011,1091,1096
68,985,1010,1091,1096
69,985,1010,1091,1096
70,985,1010,1091,1096
71,985,1011,1091,1096
72,985,1011,1091,1096
73,985,1011,1091,1096
74,985,1010,1090,1096
75,985,1011,1090,1096
76,985,1011,1090,1096
77,986,1011,1090,1096
78,984,1010,1090,1096
79,982,1010,1090,1096
80,981,1011,1090,1096
81,980,1010,1090,1096
82,979,1011,1090,1096
83,980,1010,1090,1096
84,980,1011,1090,1096
85,980,1011,1090,1096
86,979,1011,1090,1096
87,980,1011,1090,1096
88,980,1011,1090,1096
89,980,1011,1089,1096
90,980,1010,1089,1096
91,980,1012,1089,1096
92,980,1012,1089,1095
93,979,1011,1089,1096
94,977,1011,1089,1096
95,976,1011,1089,1096
96,976,1010,1089,1095
97,976,1011,1089,1095
98,975,1010,1089,1095
99,975,1010,1089,1095
100,975,1010,1089,1095
101,975,1008,1089,1095
102,975,1007,1089,1095
103,975,1006,1089,1095
104,975,1006,1089,1095
105,975,1005,1089,1095
106,975,1005,1088,1095
107,975,1005,1088,1095
108,976,1005,1089,1095
109,974,1005,1088,1095
110,973,1005,1088,1095
111,973,1005,1089,1095
112,972,1005,1089,1095
113,972,1005,1088,1095
114,973,1006,1088,1095
115,973,1006,1088,1095
116,973,1006,1088,1095
117,972,1005,1088,1096
118,973,1006,1088,1095
119,972,1005,1088,1095
120,971,1005,1088,1095
121,972,1006,1088,1095
122,971,1006,1088,1095
123,971,1006,1088,1095
124,970,1006,1088,1095
125,971,1006,1088,1095
126,970,1006,1088,1095
127,971,1006,1088,1095
128,970,1006,1087,1095
129,970,1006,1088,1095
130,970,1005,1088,1095
131,969,1006,1088,1095
132,969,1006,1088,1095
133,969,1006,1088,1095
134,970,1006,1087,1095
135,970,1006,1087,1095
136,970,1007,1087,1095
137,968,1006,1087,1095
138,968,1006,1088,1095
139,967,1006,1087,1096
140,967,1007,1087,1095
141,966,1006,1087,1096
142,967,1007,1087,1095
143,967,1007,1087,1095
144,966,1006,1087,1095
145,966,1007,1087,1095
146,966,1007,1087,1095
147,966,1007,1087,1095
148,966,1007,1086,1095
149,966,1007,1087,1096
150,966,1007,1087,1095
151,965,1007,1087,1095
152,963,1007,1086,1095
153,963,1007,1087,1095
154,963,1007,1087,1095
155,963,1007,1087,1095
156,963,1006,1086,1095
157,963,1007,1086,1095
158,963,1007,1086,1095
159,962,1007,1086,1095
160,963,1007,1086,1095
161,962,1007,1086,1095
162,962,1007,1086,1095
163,961,1006,1086,1095
164,961,1007,1086,1095
165,961,1007,1086,1095
166,960,1007,1086,1095
167,960,1007,1086,1095
168,961,1008,1092,1095
169,960,1007,1096,1095
170,960,1007,1098,1095
171,960,1008,1098,1095
172,960,1007,1098,1095
173,960,1008,1098,1095
174,961,1007,1098,1095
175,961,1008,1098,1095
176,961,1008,1098,1095
177,962,1007,1097,1095
178,962,1007,1097,1095
179,963,1007,1097,1095
180,967,1006,1097,1095
181,970,1006,1097,1095
182,973,1006,1097,1095
183,975,1006,1097,1095
184,976,1006,1097,1095
185,978,1006,1097,1095
186,979,1005,1096,1095
187,980,1006,1096,1095
188,981,1006,1097,1095
189,981,1006,1097,1095
190,981,1006,1097,1095
191,982,1006,1097,1095
192,982,1006,1096,1095
193,983,1006,1097,1095
194,984,1005,1097,1095
195,984,1005,1097,1095
196,984,1005,1096,1095
197,984,1006,1096,1095
198,985,1006,1096,1095
199,985,1005,1096,1095
200,986,1006,1096,1095
201,986,1006,1096,1095
202,986,1006,1096,1095
203,987,1006,1095,1095
204,987,1005,1095,1095
205,986,1006,1095,1095
206,987,1006,1095,1095
207,987,1005,1095,1095
208,987,1006,1094,1095
209,987,1005,1094,1095
210,987,1005,1094,1095
211,988,1006,1094,1095
212,987,1007,1094,1095
213,988,1006,1094,1095
214,988,1006,1094,1095
215,988,1006,1094,1095
216,988,1006,1094,1095
217,988,1007,1093,1095
218,989,1006,1094,1095
219,988,1006,1094,1095
220,989,1006,1094,1095
221,988,1006,1094,1095
222,989,1006,1094,1095
223,989,1007,1094,1095
224,988,1007,1095,1095
225,989,1007,1095,1095
226,989,1006,1095,1095
227,989,1007,1095,1095
228,989,1007,1095,1095
229,990,1007,1095,1095
230,990,1006,1095,1095
231,990,1006,1094,1095
232,990,1007,1094,1095
233,990,1006,1094,1095
234,990,1007,1094,1095
235,991,1007,1094,1095
236,991,1006,1094,1095
237,990,1007,1094,1095
238,991,1006,1094,1095
239,991,1006,1094,1095
240,991,1006,1094,1095
241,991,1006,1093,1095
242,991,1006,1094,1095
243,991,1006,1093,1095
244,991,1006,1093,1095
245,991,1006,1093,1095
246,991,1006,1093,1095
247,992,1006,1093,1095
248,992,1006,1093,1095
249,991,1006,1094,1095
250,992,1007,1093,1095
251,992,1006,1093,1095
252,992,1006,1093,1095
253,992,1006,1093,1095
254,992,1006,1093,1095
255,992,1007,1093,1095
256,992,1007,1093,1095
257,993,1006,1093,1095
258,993,1006,1093,1095
259,993,1006,1093,1095
260,993,1006,1093,1095
261,993,1006,1093,1095
262,993,1006,1092,1095
263,993,1006,1092,1095
264,994,1006,1092,1096
265,994,1006,1092,1096
266,993,1006,1092,1096
267,994,1006,1092,1096
268,993,1006,1092,1096
269,993,1006,1092,1096
270,994,1006,1092,1096
271,994,1006,1092,1096
272,994,1006,1092,1097
273,994,1006,1092,1097
274,995,1006,1092,1097
275,994,1007,1092,1096
276,994,1007,1092,1097
277,995,1007,1092,1096
278,995,1006,1092,1096
279,995,1007,1092,1096
280,994,1007,1092,1096
281,995,1007,1092,1096
282,995,1007,1092,1096
283,995,1006,1092,1096
284,994,1007,1092,1096
285,994,1007,1092,1096
286,993,1007,1092,1096
