Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1005,1006,1033,1098
1,1005,1007,1033,1098
2,1005,1006,1033,1098
3,1006,1006,1033,1098
4,1005,1006,1033,1098
5,1005,1006,1033,1098
6,1005,1006,1033,1098
7,1005,1006,1032,1098
8,1005,1006,1032,1098
9,1005,1007,1032,1098
10,1005,1006,1032,1097
11,1006,1006,1032,1097
12,1005,1006,1032,1097
13,1005,1006,1032,1097
14,1005,1006,1032,1098
15,1005,1006,1032,1098
16,1005,1007,1032,1098
17,1006,1006,1032,1097
18,1006,1006,1031,1097
19,1005,1006,1032,1097
20,1006,1006,1032,1097
21,1005,1006,1032,1097
22,1005,1006,1032,1097
23,1005,1006,1032,1097
24,1005,1006,1031,1097
25,1006,1006,1031,1097
26,1006,1006,1031,1097
27,1006,1006,1031,1097
28,1006,1006,1031,1097
29,1005,1006,1031,1097
30,1005,1006,1031,1097
31,1006,1006,1031,1097
32,1005,1005,1031,1097
33,1006,1006,1031,1097
34,1005,1006,1031,1097
35,1006,1008,1031,1097
36,1005,1006,1031,1097
37,1005,1006,1030,1097
38,1005,1006,1031,1097
39,1005,1006,1031,1097
40,1005,1006,1031,1097
41,1006,1006,1030,1096
42,1005,1005,1031,1096
43,1005,1006,1030,1096
44,1005,1006,1030,1096
45,1006,1006,1030,1097
46,1006,1006,1030,1096
47,1006,1006,1030,1096
48,1006,1006,1030,1096
49,1005,1006,1030,1096
50,1006,1005,1030,1096
51,1006,1006,1030,1096
52,1005,1006,1030,1096
53,1005,1006,1030,1096
54,1005,1006,1030,1096
55,1006,1006,1030,1096
56,1005,1006,1030,1096
57,1005,1006,1030,1096
58,1005,1006,1030,1096
59,1005,1006,1030,1096
60,1006,1007,1030,1096
61,1005,1007,1030,1096
62,1005,1006,1030,1096
63,1005,1005,1030,1096
64,1005,1006,1030,1096
65,1005,1006,1030,1096
66,1005,1006,1030,1096
67,1006,1006,1029,1096
68,1006,1006,1029,1096
